Designator,Mid X,Mid Y,Rotation,Layer
C1,2.63,57.9414,180.0,top
C10,25.5,14.7625,270.0,top
C11,36.92,13.9864,270.0,top
C12,52.655,12.2214,0.0,top
C13,54.7,16.0314,270.0,top
C14,47.855,21.7614,0.0,top
C15,68.21,18.2789,270.0,top
C16,73.1,17.8,270.0,top
C17,64.86,18.2789,270.0,top
C18,28.3,14.7625,270.0,top
C2,43.518824,42.751444,180.0,top
C3,43.111324,68.151444,180.0,top
C4,49.006324,42.751444,180.0,top
C5,64.86,31.2714,270.0,top
C6,3.0,32.3839,90.0,top
C7,15.825,9.6814,0.0,top
C8,17.87,13.7239,270.0,top
C9,12.295,19.8414,0.0,top
D2,59.78,14.6014,270.0,top
D3,21.68,12.0614,270.0,top
D4,62.32,40.0014,90.0,top
J1,69.94,49.1114,90.0,top
J4,69.94,61.8514,90.0,top
J5,69.94,38.9114,90.0,top
J6,69.94,28.7914,90.0,top
L1,3.0,28.3964,270.0,top
L2,19.14,21.1114,0.0,top
L3,54.7,23.6514,0.0,top
Q1,48.875,35.0814,0.0,top
R1,2.9875,61.5214,180.0,top
R10,34.4125,25.8339,270.0,top
R11,41.0875,14.7614,180.0,top
R12,63.4,12.0875,90.0,top
R13,25.0,9.6,90.0,top
R2,34.4125,33.5214,0.0,top
R3,39.0,34.5214,90.0,top
R4,6.44,16.3889,270.0,top
R5,31.84,13.1339,90.0,top
R6,10.6075,9.6814,180.0,top
R7,43.6275,17.3014,270.0,top
R8,70.8,17.9,90.0,top
R9,48.7075,12.2214,180.0,top
U1,12.1225,14.1264,0.0,top
U2,49.38,16.6664,0.0,top
